content,score,Label
"Saya dulu sales aplikasi sebelah, saya ingin bergabung dengan team sales wahyoo karena di lapangan banyak para warung dan pngusaha kuliner mendaftar sebagai mitra wahyoo. Saya sangat antusias ingin bergabung dengan team wahyoo. Mohon untuk link pendaftaran sales loker wahyoo. Trims...🙏",5,Positif
"Ini aplikasi gimana ya... Masa pas baru donwload, terus gk ada keterangan registrasi, hanya ada tombol masuk saja, tapi stelah masuk dan isi no hp malah gk bisa... Aneh banget :d",2,Negatif
Kecewa. Ga bisa login... Padahal saya pengguna baru...,1,Negatif
Sales nya ganteng mas adi,5,Positif
Tidak bisa masuk,1,Negatif
Ok,5,Positif
Luar biasa puas trimakasih wahyoo Sukses terus,5,Positif
Sangat membantu kita,5,Positif
"Aplikasi yang bermanfaat , jadi tidak perlu belanja lagi ke pasar , semoga semakin maju dan berkembang untuk palikasi nya wahyoo",5,Positif
Mantap,5,Positif
Pelayananya mantap👍👍👍,5,Positif
mantap lah,3,Negatif
Lumayan bisa membantu saya utk belanja online( mantap buat sales tyo timur ),5,Positif
Good jobs,5,Positif
"Udah daftar tp blm diverifikasi katanya blm mencakup area cikarang tp di sekitar tempatku banyak warung yg ikut wahyoo,aplikasi gk jelas tlong diperbaiki lg",1,Negatif
Trimakasih wahyoo saya sdh bergabung kurang lebih 2 tahun pelayanannya memuaskan,5,Positif
Promonya di banyakin lgi dong minnn bar makin rajin blanjanya 😁 😁 😁,5,Positif
Promo di perbanyak lg,5,Positif
Makin mudah belanja gaperlu ke pasar... Sales agus setiawan mantaaaap lah,5,Positif
Wow,5,Positif
"aplikasi kagak jelas baru mau log in aja kagak bisa,,uninstal lagi dah",1,Negatif
Lebih mudah untuk akses belanja dan lebih hemat waktu,5,Positif
Tambah ribet,3,Negatif
Aplikasinya bagus banget...,5,Positif
"Kerennnnn semoga selalu sukses, dan bisa jadi saluran berkat bagi semua warung makan di Indonesia",5,Positif
Terima kasih wahyoo,5,Positif
Bukan nya mudah digunain malah susah buat salesnya kasian ni mas iqbal,1,Negatif
"A high impact startup with a very good app! Very beneficial and useful for owners of warung makan (canteens, small restaurants) in order to grow their business.",5,Positif
Mantaps,5,Positif
Mantap aplikasinya makin keren( warteg arus seles agus jaktim)😍😍,5,Positif
"harga murah,trs saya ajak orang dapat sovenir lgai",5,Positif
Oo,1,Negatif
tidak bisa login,5,Positif
"Aplikasi wahyoo membuat belanja menjadi mudah,, barang yang kita pesan sesuai dengan gambar di aplikasi,,, terima kasih wahyoo.....",5,Positif
Good job,5,Positif
menginsipirasi,5,Positif
Ok bagus,5,Positif
Mau bergabung semoga dagangan ku maju,5,Positif
Ok,5,Positif
Mau daftar ngga bisa bisa. lagi masukin foto tiba2 keluar sendiri.. Berkali kali kaya gitu terus.!! Kesel,1,Negatif
Bagus amat apliksi memudahkan warung belanja harga murah😘👍👍👍👍,5,Positif
Bagus,5,Positif
Mantul Timur,5,Positif
Mantap,5,Positif
Okj,5,Positif
Bagus aplikasi nya,5,Positif
Mamtap ayu bang kumis sales ali,5,Positif
Bagus rm karawang mantap,5,Positif
warteg mekar sari aplikasi mantan sunter jaya,5,Positif
Bagus aplkasi,5,Positif
dari bakso raos tanjung priok aplikasi mantap,5,Positif
Bagus dari warkop ibu dewi sales ali..mantap aplikasi wahyoo maju terus dan berkembang,5,Positif
"1kata aja. ""MAHAL""",1,Negatif
Bagus banget,5,Positif
Sangat membatu warung blanja jdi lebih mudah dan praktis,5,Positif
Ook,4,Positif
Bagus aplikasi nya,5,Positif
B ajA,5,Positif
"Kapan nih wahyoo lengkapin semua stok barang...tambahain juga dong pake dompet virtual ,,fintech macam ovo,Dana atau linkaja...biar dapat casback gitu..TAMBAHIN TOMBOL BARANG DITERIMA DI APLIKASI BIAR POIN LANGSUNG MASUK...BARANG SUDAH DITERIMA DI APLIKASI STATUSNYA MASIH DI SETUJUI",5,Positif
Kurang tanggap,1,Negatif
"Lupa pasword gimana bos..kode warung juga lupa ,padahal udah belanja di sini juga..gak ada pilihan reset password ke nomer terdaftar",3,Negatif
"Alhamdulillah belanja jdi mudah gk usah repot2 pergi kepasar tinggal klik..semua kebutuhan warùng ada disini...hemat waktu dan hemat biaya karena pengiriman barang free ongkir,tks buat wahyu",5,Positif
mantul,5,Positif
Gooood,5,Positif
Brg kurang komplit... wilayah jkt timur,3,Negatif
Coba dlu,5,Positif
sangat membantu ayo gabung,5,Positif
"lumayan membantu tp produk kurang lengkap , seharusnya tidak usah d khususkan alangkah lebih baik jika produk yg tersedia itu produk kebutuhan sehari-hari mungkin lebih membantu 😊😊 semoga lebih di tingkatkan lg kualitasnya",3,Negatif
Semakin sukses untuk.wahyoo,5,Positif
"APLIKASI PAYAH!!! BARANG BLM DITERIMA TAPI STATUS DITERIMA!!! PAYAH, BIKIN KAPOK AJA!!!!",1,Negatif
sangat membantu dan promo nya pun banyak saya suka,5,Positif
ga danta nih aplikasi apah tau,1,Negatif
gak bisa login,1,Negatif
"sangat membantu pedagang kecil, saran saya item barang nya mohon di banyakin",5,Positif
👍👍👍,5,Positif
maju terus untuk wahyoo ttp jdi yg terbaik.....salam dari WARUNG MAKAN PACITAN,5,Positif
oke lah..,5,Positif
mantulll,5,Positif
aplikasi good,5,Positif
"Bagus sayang saya mau daftar tidak bisa karena Alamat ,,Saya tinggal di Bogor Kota",1,Negatif
mantapp,5,Positif
aplikasinya good,5,Positif
tidak bisa registrasi karena pilihan kota loading doang ga muncul muncul :(,1,Negatif
good,5,Positif
aplikasi ini sangat tidak berguna bagi masyarakat.,1,Negatif
Nggak usah dihubungi,1,Negatif
"apa fungsi dan kegunaan aplikasi ini ya,saya belum paham samasekali",1,Negatif
"payah, ga bisa login padahal pas daftar sukses",1,Negatif
Ok,5,Positif
kenapa ya? daftar nya susah bgt..?🤔 sangat di sayangkan. kalau ngk bisa di pakai.,1,Negatif
lumayannn,5,Positif
"gak bisa dipake boss,udh register gak bisa login mohon pencerahan",1,Negatif
gak jelaz cara registrasi na,1,Negatif
Gak paham lagi udah daftar berkali2 kaga bisa login,1,Negatif
"maaf,,kenapa susah tuk login..sedangkan warungku sudah terdaftar dan sudah terpasang spanduk wlo voucher yang di janjikan belum turun.dan susah juga tuk mndaftar masuk,,nama,alamat,no hp,,kota,,tapi sayang masuk isi kolom di kecamatan sedangkan sudah masuk kota,dan kelurahanpun sangat salah atau kurang lengkap.thx",1,Negatif
mau coba dulu,5,Positif
keren,5,Positif
Ok,5,Positif
ok semoga semakin memudahkan,5,Positif
Susah bgt masuk nya pdahal udah buat akun Gymna donk cravnya,3,Negatif
puasssss,5,Positif
