,created_at,tweet,score,label
104,Thu Mar 16 02:00:43 +0000 2023,"Indonesia diyakini tidak akan mengalami resesi pada tahun 2023 ini, walaupun ekonomi global ada kemungkinan jatuh ke jurang resesi. \n\nPertumbuhan ekonomi Indonesia ditopang oleh konsumsi dalam negeri, yang masih dapat didorong lebih kuat lagi. https://t.co/Y5WxvZavrr",1,POSITIVE
106,Tue Mar 14 20:29:44 +0000 2023,"UMKM akan Jadi Penyelamat Resesi 2023, Apa Iya? \n\nKondisi ekonomi global sedang tidak baik-baik saja. Hal ini memicu terjadinya resesi ekonomi yang menjadi hantu menyeramkan bagi negara dunia, tak terkecuali Indonesia. \n\nhttps://t.co/Dxi479rZnY",-1,NEGATIVE
107,Sun Mar 05 02:04:03 +0000 2023,"Disukai Konsumen, E-commerce Jadi Penopang Ekonomi di Tengah Ancaman Resesi 2023 https://t.co/7gV2PVmqja #Digital #TeknologiDigital #ECommerce #Pandemi",1,POSITIVE
108,Sat Mar 11 03:08:13 +0000 2023,Pelaku UMKM Dinilai Paling Tangguh Hadapi Ancaman Resesi Ekonomi 2023 https://t.co/doghox1b3e,1,POSITIVE
109,Fri Mar 10 03:41:38 +0000 2023,"Pemprov Jateng mendorong para pengusaha tetap optimistis menghadapi ancaman resesi 2023. Terlebih, para pengusaha merupakan mitra pemprov, sehingga keduanya dapat bergerak bersama mendongkrak pertumbuhan ekonomi, dan menghadapi berbagai tantangan domestik maupun global. https://t.co/e5xpd9OJ11",1,POSITIVE
110,Wed Mar 08 02:08:38 +0000 2023,"#Portizen\n\nDi tengah ancaman isu resesi global, PT Pelindo Solusi Logistik atau SPSL terus berupaya untuk mempertahankan resiliensi ekonomi 2023. Salah satunya melalui perluasan dan pengembangan bisnis di bidang logistik dan hinterland development. https://t.co/vu8Xp0juvO",1,POSITIVE
111,Mon Mar 06 18:51:48 +0000 2023,"Check out my latest video Resesi Ekonomi 2023 | Lakukan Ini Segera ⁉️💯""\n\nWatch Now: https://t.co/esXrG6boOx\n\n(Posted via https://t.co/XMHhgaVwvv) https://t.co/BbiLOe8IU7""",1,POSITIVE
112,Tue Mar 07 01:34:18 +0000 2023,"Dalam webinar bertema Resesi Global, Ancaman Riil atau Sekedar Gertakan"" di UMN. Terdapat catatan positif ekonomi tahun 2022 dinilai bisa menjadi bekal bagi Indonesia mengarungi tahun 2023 yang masih penuh dengan ketidakpastian.\n\nhttps://t.co/56fq2BZdnI\n\n#Ekonomi #Adadikompas""",1,POSITIVE
113,Sun Mar 05 15:45:58 +0000 2023,"@txtdarisukabumi Setelah diliat liat, ternyata di tahun 2023 indonesia bukan resesi ekonomi, tapi resesi ahlak ….,,,,",-1,NEGATIVE
114,Mon Mar 06 12:59:00 +0000 2023,"Pada Januari 2023, https://t.co/P3INDmwnnD berkolaborasi dengan @asumsico membuat survei untuk menangkap kekhawatiran gen Z terhadap fenomena mass layoff yang terjadi.\n\nHasilnya, mayoritas responden percaya kalau mass layoff terjadi karena kondisi ekonomi global/resesi https://t.co/le8ziwzqeZ",1,POSITIVE
115,Mon Mar 06 18:44:40 +0000 2023,Resesi Ekonomi 2023 | Lakukan Ini Segera ⁉️💯 https://t.co/esXrG6boOx via @YouTube,1,POSITIVE
116,Mon Mar 06 22:21:01 +0000 2023,"Ketidakpastian kondisi global bisa memicu resesi ekonomi yang dapat menganggu target pertumbuhan ekonomi Indonesia di tahun 2023. Meski demikian, Indonesia dinilai punya resiliensi yang tercermin dari kinerja 2022 lalu.\n\nhttps://t.co/wCUyRUmbIM\n\n #Ekonomi #AdadiKompas",1,POSITIVE
117,Thu Mar 09 05:45:00 +0000 2023,Airlangga: Indonesia Tidak Terdampak Resesi Ekonomi 2023\n#airlangga #resesi #resesiekonomi\n https://t.co/wBBg2x3bnX,1,POSITIVE
118,Mon Mar 13 10:42:56 +0000 2023,Para pelaku UMKM jelas memiliki jiwa tangguh dalam menghadapi ancaman resesi ekonomi 2023 #ItsTimeRestorasiIndonesia\n#NasdemNo5\n#AniesPresidenku https://t.co/rFqYweaYQe,1,POSITIVE
119,Tue Mar 07 07:59:54 +0000 2023,Video: Ekonomi AS Diprediksi Resesi di Q3-2023 https://t.co/QlZRdvKxuW,-1,NEGATIVE
120,Sat Mar 11 14:05:39 +0000 2023,Ohh ini yg katanya 2023 resesi ekonomi gelap ternyata penggelapan bukan gelap ekonomi hancur di menteri keuangan #RIPKemenkeu,-1,NEGATIVE
121,Thu Mar 09 08:27:28 +0000 2023,"Seingat ku awal taon 2023 pada gembar gembor ancaman resesi ekonomi, ini kenapa malah muncul kasus Kemenkeu Beacukai 300T #KemenkeuLumbungMaling #KemenkeuBersihBersih 🙄🙂",-1,NEGATIVE
122,Tue Mar 07 03:00:01 +0000 2023,@KemenkeuRI @prasetyantoko @DubesRI_SG @kbrisingapura @psjahrir @IDX_BEI Ketidakpastian kondisi global bisa memicu resesi ekonomi yang dapat menganggu target pertumbuhan ekonomi Indonesia di tahun 2023. Baca ulasan lengkapnya di harian Kompas (https://t.co/Z6bhYbEc1I). \n\nhttps://t.co/56fq2BYFya\n\n#Ekonomi #Adadikompas,-1,NEGATIVE
123,Thu Mar 09 13:58:38 +0000 2023,2023 Indonesia aman dari resesi\n\n#airlanggahartarto #golkarindonesia #resesi #ekonomi @golkar_id @airlangga_hrt https://t.co/7CRHJKAxqB,1,POSITIVE
124,Mon Mar 13 10:48:35 +0000 2023,Nasdem optimis bahwa pelaku UMKM tangguh dan bisa menghadapi resesi ekonomi tahun 2023\n#ItsTimeRestorasiIndonesia\n#NasdemNo5\n#AniesPresidenku https://t.co/8efFswpPes,1,POSITIVE
125,Fri Mar 10 13:15:19 +0000 2023,Indonesia bebas Resesi Ekonomi di tahun 2023.\n\n#airlanggahartarto\n#airlanggakerja\n#kerjauntukindonesia\n#kerjanyata\n#resesi\n#ekonomi\n#indonesia\n#globaleconomy\n#resesi2023\n#menkoperekonomian\n#golkarindonesia\n#viralindonesia \n#FortniteMEGA \n#sneachta \n#TheGlory https://t.co/Kls6QVQBGx,1,POSITIVE
126,Mon Mar 06 14:26:09 +0000 2023,"@Fraudehowl TYPING MENYESUAIKAN KARAKTER BRO, JAMAN SEKARANG UDAH RESESI EKONOMI TAHUN 2023 LU MASIH AJA KETIPU SAMA TYPING? YANG BENER AJE 💔",-1,NEGATIVE
127,Tue Feb 28 09:08:23 +0000 2023,"BREAKING NEWS\n\nKabar baik dari Menkeu Sri Mulyani ekonomi global akan berbalik arah menjadi lebih baik.\nIni bisa terjadi karena di negara AS tidak terjadi resesi ekonomi, Tentunya 2023 tidak terjadi krisis ekonomi.\n\nEkonomi Indonesia pun akan ikut menguat &amp; inflasi bakal menurun. https://t.co/7RvwDsLuFf",1,POSITIVE
128,Mon Feb 27 09:14:51 +0000 2023,Danny Pomanto Berbagi Strategi Hadapi Resesi Ekonomi 2023 Bersama KEPMI Bone https://t.co/E2SbFxfoRR,1,POSITIVE
129,Sat Mar 04 14:00:17 +0000 2023,Peran Usaha Mikro dan UMKM dalam Memitigasi Resesi Ekonomi 2023 https://t.co/P99OtNrmis,1,POSITIVE
130,Thu Mar 02 14:53:10 +0000 2023,"@hariankompas 2023 ASU 🇺🇲 Resesi, 2024 ekonomi dunia kolaps 👉 2025 Great reset ekonomi Barat.\nIndonesia dimana? Ikut induknya ASU 🇺🇲",-1,NEGATIVE
131,Tue Feb 28 08:44:16 +0000 2023,"Menkeu Bu Sri Mulyani mengungkapkan dalam Economic Outlook 2023"" bahwa perekonomian dunia berbalik positif pada tahun 2023 inih. \nBerharap AS tidak mengalami resesi sehingga ekonomi global akan smangkin lebih baik... https://t.co/eDk7dFAyCM""",1,POSITIVE
132,Wed Mar 01 03:20:47 +0000 2023,"Kemenkeu menjelaskan ttg ekonomi nasional di 2023.\nApakah akan resesi atau tidak. Lalu  sektor apa saja yg bakal kena Imbasnya. \n\nSekali kali, Pajak merupakan modal untuk pemulihan ekonomi. \nUntuk mensubsidi masyarakat agar rakyat tdk terlalu berat menanggung biaya ekonomi. https://t.co/xjqbLI3jPl",1,POSITIVE
133,Tue Feb 28 08:49:32 +0000 2023,"Menkeu Sri Mulyani memprediksi thn 2023 ekonomi global akan berbalik arah menjadi lbh baik.\nHal ini terjadi karena tdk terjadi resesi ekonomi di AS, yg tentu akan berimplikasi pd ekonomi global.\n\nEkonomi Indonesia pun akan ikut menguat pd 2023.\n\nhttps://t.co/ovrk23xIe1 https://t.co/ACrqrYEZSD",1,POSITIVE
134,Fri Mar 03 01:47:40 +0000 2023,"Strategi nasional Presiden Joko Widodo alis Jokowi dalam penguatan ekonomi menghadapi ancaman krisis ekonomi pada 2023 ini. \n\nBanyak pengamat dan pakar memprediksi pada tahun 2023  banyak negara dipastikan mengalami resesi. Namun, Indonesia masih aman dari resesi tersebut. https://t.co/O7citSJpW8",1,POSITIVE
135,Thu Mar 02 10:52:17 +0000 2023,Cara Menghadapi Resesi Ekonomi 2023. #Resesi\nhttps://t.co/2qz71q3Ll0,1,POSITIVE
136,Wed Mar 01 10:21:19 +0000 2023,@datanesia_id Disebut tahun ujian karena akan ada resesi ekonomi global di tahun 2023 ini.,-1,NEGATIVE
137,Thu Mar 02 01:20:58 +0000 2023,"Sri Mulyani: AS Batal Resesi, Dunia Selamat\n\nMenteri Keuangan Sri Mulyani dalam Economic Outlook 2023 mengungkapkan bahwa perekonomian dunia berbalik positif pada tahun 2023. Diharapkan AS tidak mengalami resesi sehingga ekonomi global akan lebih baik.\n@KemenkeuRI @DitjenPajakRI https://t.co/QV7M4ANTOe",1,POSITIVE
138,Wed Mar 01 11:35:28 +0000 2023,"#KawanJaKita, masa kepemimpinan Pj Gubernur DKI Jakarta Heru Budi Hartono memasuki 100 hari pertama pada 17 Januari 2023 lalu.\n\nAda banyak gebrakan dan terobosan yang telah dilakukannya seperti upaya mengatasi banjir, kemacetan hingga antisipasi dampak resesi ekonomi. https://t.co/999CYqCw4c",1,POSITIVE
139,Wed Mar 01 03:37:11 +0000 2023,"Kemenkeu, Sri Mulyani mengatakan bahwa uang pajak untuk pemulihan ekonomi\n\nSri Mulyani dalam penjelasannya, apakah 2023 itu global ekonomi resesi apa nggak dan kira-kira sektor mana saja yang terdampak.\n\nMari kita simak video selengkapnya. https://t.co/9Nj3oeueCo",1,POSITIVE
140,Tue Feb 28 09:14:02 +0000 2023,Hal tersebut tentu tidak terlepas dari kerja keras Kemenkeu yg bekerja keras Menjaga Momentum Ekonomi di Tengah Ketidakpastian Dunia agar Tidak terdampak besar dengan Resesi yg melanda Dunia \nDan Diperkirakan Kondisi Ekonomi Indonesia Menguat tahun 2023 ini,1,POSITIVE
141,Tue Feb 28 08:31:01 +0000 2023,"Ibu Sri Mulyani menegaskan bahwa perekonomian dunia berbalik positif pada tahun ini. Hal ini memberikan harapan krn China, Eropa dan India juga menunjukkan perbaikan. Dengan demikian,beliau yakin ekonomi dunia akan baik pada 2023, dibandingkan prediksi resesi sebelumnya",1,POSITIVE
142,Sat Feb 25 07:01:34 +0000 2023,Ini Sektor Usaha yang Diprediksi Aman dari Resesi Ekonomi 2023 https://t.co/6PeWvCW3vZ https://t.co/eR9svfReUO,1,POSITIVE
143,Sat Feb 25 00:20:12 +0000 2023,Menkeu Sri Mulyani kembali memastikan Indonesia tidak akan terkena resesi pada 2023 ini. Merujuk pada prediksi Dana Moneter Internasional atau IMF yang baru mengeluarkan prediksi ekonomi dunia. \nIMF baru saja mengeluarkan prediksi sepertiga dari ekonomi dunia akan terkena resesi. https://t.co/lhpab0EZzi,1,POSITIVE
145,Sat Feb 25 02:25:18 +0000 2023,"Sri Mulyani Pastikan 2023 Indonesia Tidak Terkena Resesi: Insya Allah Kita Jaga Terus\n\nIMF baru saja mengeluarkan prediksi sepertiga dari ekonomi dunia akan kemungkinan terkena resesi. Kita tidak termasuk yang sepertiga, insya Allah kita jaga terus,"" https://t.co/adoBbu6COZ""",1,POSITIVE
146,Sat Feb 25 00:46:00 +0000 2023,"IMF baru saja mengeluarkan prediksi sepertiga dari ekonomi dunia akan kemungkinan terkena resesi. Kita tidak termasuk yg sepertiga, insya Allah kita jaga terus,"" ujar Sri Mulyani dlm video YouTube Kementerian Keuangan, dikutip pada Ahad, 8 Januari 2023.\n\nhttps://t.co/qyB9v4Gfvl. https://t.co/dMrpJWLNgP""",-1,NEGATIVE
149,Mon Feb 27 04:04:45 +0000 2023,Ekonomi Indonesia tumbuh di tengah resesi global 2023 #TegakkanKeadilan #IndonesiaMaju https://t.co/HWN53oQGi0,1,POSITIVE
151,Sat Feb 25 01:45:05 +0000 2023,"🔊 SEMINAR NASIONAL 1.0 🔊\n\n[ PENGARUH DAN TANTANGAN FENOMENA RESESI EKONOMI TAHUN 2023 TERHADAP SEKTOR LOGISTIK INDONESIA]\n\n25 Februari 2023\nAuditorium Universitas Logistik dan Bisnis Internasional (ULBI)\nJl. Sariasih No. 54, Sarijadi, Kota Bandung\n \nCP : (0851-6192-9881) https://t.co/Pw0dGaUucI",1,POSITIVE
152,Mon Feb 27 02:01:19 +0000 2023,"Divestasi Fire 2.0, potensi resesi ekonomi di tahun 2023 ini dan iklim perpolitikan di Indonesia menjelang pemilu 2024 nanti. Namun hal tersebut tidak menggetarkan API dalam menggapai  visi API  untuk menjadi integrator pelabuhan dan hinterland terkemuka di Indonesia.\n\nAPI akan",1,POSITIVE
153,Sun Feb 26 06:23:24 +0000 2023,"@OposisiCerdas .\nhaaalaah si Jae, rakyatnya di takut²in kl masuk 2023 masuk resesi Ekonomi\n\nrakyat eman² duitnya jaga² krisis beneran eeh skrg disuruh konsumtif 🤣\n\n🐸🔨🔨🔨",-1,NEGATIVE
154,Sun Feb 26 14:39:13 +0000 2023,Wali Kota Makassar Berbagi Strategi Hadapi Resesi Ekonomi 2023 Bersama KEPMI Bone : https://t.co/oGCqxA7Ics,1,POSITIVE
155,Fri Feb 24 17:01:44 +0000 2023,Prediksi pakde mengenai 2023 menjadi tahun gelap di sektor perekonomian bukan soal pertumbuhan ekonomi negatif dua kuartal berturut-turut a.k.a. resesi. Tapi ternyata soal kepercayaan masyarakat terhadap lembaga pemungut uang rakyat 🤣,-1,NEGATIVE
156,Fri Feb 24 10:04:24 +0000 2023,"Pada tahun 2023, sejumlah tantangan akan dihadapi oleh sektor perbankan syariah, mulai dari tantangan ekonomi global, ancaman resesi, konflik geopolitik, tingkat literasi masyarakat yang cenderung masih rendah, hingga regulasi mengenai pengelolaan kebijakan makroprudensial.",-1,NEGATIVE
157,Thu Feb 23 14:58:08 +0000 2023,"Ultra Voucher Optimis Menjadi Voucher Dan Reward Platform Terbaik Indonesia: Di tengah situasi ekonomi global yang tidak pasti dengan adanya isu resesi ekonomi, di tahun 2023 ini PT Trimegah Karya Pratama tetap optimis dengan serangkaian one stop… https://t.co/3tnacGvkEh https://t.co/Xfl1Ar1qJi",1,POSITIVE
158,Fri Feb 24 10:21:17 +0000 2023,"@OposisiCerdas Pak @jokowi lucu sih emang. Kmrn2 gembar gembor th 2023 akan resesi, ekonomi sulit dan hal2 gloomy"" laennya. Jd org takut spending. Jaga2 buat worst situation. Skrg suruh royal belanja. Yg betul yg mana sih? 🤔""",-1,NEGATIVE
160,Fri Feb 24 04:24:47 +0000 2023,Ternyata 2023 bukan resesi ekonomi tapi resesi arogansi,1,POSITIVE
161,Fri Feb 24 03:05:51 +0000 2023,"Good news gaess!\nIndonesia dipastikan tidak akan mengalami resesi pada tahun 2023,\nBu Sri merujuk pada prediksi IMF yang mengeluarkan prediksi ekonomi dunia. https://t.co/qLD7Oj4YoJ",1,POSITIVE
162,Fri Feb 24 01:05:57 +0000 2023,Sri Mulyani Pastikan 2023 Indonesia Tidak Terkena Resesi\n\nMenteri Keuangan Sri Mulyani kembali memastikan Indonesia tidak akan terkena resesi pada 2023 ini. Ia merujuk pada prediksi Dana Moneter Internasional atau IMF yang baru mengeluarkan prediksi ekonomi dunia. https://t.co/RLcnh3jHYm,1,POSITIVE
163,Wed Feb 22 16:34:29 +0000 2023,@ccalehenituse Resesi ekonomi 2023 gmna?,1,POSITIVE
165,Thu Feb 23 02:27:08 +0000 2023,"Bye Resesi! AMRO Ramal Ekonomi RI Tumbuh 5 Persen Sepanjang 2023\n\nASEAN+3 Macroeconomic Research Office (AMRO) memperkirakan ekonomi Indonesia akan tumbuh sebesar 5,0 persen pada 2023, melambat dibandingkan 2022 yang diperkirakan mencapai 5,3 persen. RI dipastikan tak resesi. https://t.co/oJEtGo2OFV",1,POSITIVE
166,Thu Feb 23 12:41:44 +0000 2023,@grumpyydino yaaa lagi nii \n\nGimana pendapat mu tentang Indonesia resesi ekonomi tahun 2023 ??,1,POSITIVE
167,Fri Feb 24 04:49:47 +0000 2023,"Potensi dari resesi di tahun 2023 tampak membayangi Bitcoin dan crypto lainnya, investor pun tampak bersiap untuk itu.\n\nhttps://t.co/1l1R6Hqu5O\n\n#resesi #Bitcoin #crypto #investor #aset #ekonomi",-1,NEGATIVE
168,Fri Feb 24 15:43:37 +0000 2023,"@tanyakanrl Pertumbuhan ekonomi Indonesia mines 2023, siap2 resesi gara2 memek agnes",-1,NEGATIVE
169,Fri Feb 24 00:31:01 +0000 2023,Menkeu Sri Mulyani kembali memastikan Indonesia tdk akan terkena resesi pada 2023 ini. \nKrn merujuk pd prediksi IMF yg baru mengeluarkan prediksi ekonomi dunia dmna sepertiga dari ekonomi dunia kemungkinan akan terkena resesi. Dan Indonesia tdk termasuk yg sepertiga itu. https://t.co/SsXkEITxfk,1,POSITIVE
170,Wed Feb 22 09:55:24 +0000 2023,"MARKETING\nMeski Dibayangi Resesi 2023, 76% Pelaku Bisnis Indonesia Optimis Ekonomi Meningkat \n#beritabisnis #beritamarketing \n\nklik beritanya di sini:\nhttps://t.co/G7OfLqUfQw",1,POSITIVE
171,Thu Feb 23 23:44:23 +0000 2023,Menteri Keuangan Sri Mulyani kembali memastikan Indonesia tidak akan terkena resesi pada 2023 ini. Ia merujuk pada prediksi Dana Moneter Internasional atau IMF yang baru mengeluarkan prediksi ekonomi dunia. https://t.co/J1ZoOEdAjg,1,POSITIVE
173,Fri Feb 24 10:58:01 +0000 2023,Ekonomi Indonesia 2023: Yang Harus Diwaspadai Meski Tak Akan Resesi https://t.co/qIYVEcCHWv,1,POSITIVE
174,Wed Feb 22 04:30:49 +0000 2023,"Telah terbit! Majalah JaKita \nedisi 1 tahun 2023.\n\nEdisi ini, JaKita membahas Laporan Utama mengenai 100 hari kerja pertama yang dilalui Pj Gubernur DKI Jakarta, Heru Budi Hartono. Mulai dari mengatasi persoalan banjir, kemacetan hingga antisipasi dampak resesi ekonomi. https://t.co/PNZxM9vrBr",1,POSITIVE
177,Sun Feb 19 21:13:09 +0000 2023,"Dari sejumlah indikator, sampai awal Februari 2023 telah terjadi perbaikan ekonomi dunia yang bergejolak sejak 2022. Ekonomi dunia tahun 2023 tidak seburuk seperti banyak diperkirakan orang. Resesi dunia dapat dihindari.\n\nhttps://t.co/MASIQ7bSKu\n\n #Opini #AdadiKompas",1,POSITIVE
178,Tue Feb 21 08:42:43 +0000 2023,Pemerintah Tingkatkan Investasi Hadapi Dampak Resesi Ekonomi 2023/2024\n\nhttps://t.co/XoCTrfj8LS https://t.co/JOg51BqMPP,1,POSITIVE
181,Sun Feb 19 13:40:02 +0000 2023,APPBI harap resesi 2023 tak terlalu berdampak pada ekonomi Indonesia https://t.co/LmQfrLNZoV,1,POSITIVE
182,Tue Feb 21 11:34:39 +0000 2023,Ternyata resesi 2023 bukan karena ekonomi dalam negeri aja tapi juga karena tiap minggu banyak konser dimana-mana😭😭😭😭,-1,NEGATIVE
183,Tue Feb 21 02:23:36 +0000 2023,@cherwyblossom_ Mnrt kamu 2023 ini akan kah resesi ekonomi?,1,POSITIVE
185,Sun Feb 19 16:26:18 +0000 2023,"2023 Diprediksi Resesi, Ini Kata Dosen Ekonomi UMM https://t.co/v5RzmwAcoZ",1,POSITIVE
186,Tue Feb 21 01:37:21 +0000 2023,"era kepemimpinan Pak Jokowi, pertumbuhan ekonomi Indonesia lewati ancaman resesi 2023 https://t.co/YDMWmYwHYh",1,POSITIVE
187,Mon Feb 20 10:00:00 +0000 2023,Seberapa parah resesi ekonomi dunia 2023? Pertanyaan ini muncul karena adanya kekuatiran sedemikian besar terhadap perekonomian dunia yang baru pulih dari pandemi Covid-19.\n\nResesi Dunia 2023: Seberapa Parah?\n#Opini 20 Februari 2023\n\nhttps://t.co/lMGLKnR5C7 https://t.co/SB9jW6hvjy,1,POSITIVE
190,Sun Feb 19 01:01:05 +0000 2023,3 Tips Hadapi Resesi Ekonomi Global 2023 dari Dosen Ekonomi UMM https://t.co/Npkp1VCl9K,1,POSITIVE
191,Mon Feb 20 02:24:39 +0000 2023,"🦖 : 2023 ekonomi resesi, kita kapan resepsi? \n\n*send all",1,POSITIVE
192,Mon Feb 20 05:16:05 +0000 2023,Pakar Ekonomi Jelaskan Kemungkinan Resesi Tahun 2023.\n\nResesi global ramai jadi perbincangan di tahun 2023 ini. Banyak pakar yang telah memprediksi terjadinya penurunan ekonomi dan perdagangan baik di… https://t.co/fVyhTWCB1t #Ekbis #ekonomi #resesiglobal via @beritajatimcom,-1,NEGATIVE
193,Thu Feb 16 15:27:37 +0000 2023,Trisno Nugroho Yakini Ekonomi Bali Tahun 2023 Tidak Akan Alami Resesi https://t.co/Ggzo8XeipU #Bali #Denpasar,1,POSITIVE
194,Sun Feb 19 21:40:10 +0000 2023,"Dari sejumlah indikator, sampai awal Februari 2023 telah terjadi perbaikan ekonomi dunia yang bergejolak sejak 2022. Ekonomi dunia 2023 tak seburuk perkiraan. Resesi dunia dapat dihindari.\nBambang Prijambodo,Opini Kompas\nhttps://t.co/BE4Bx7ibbF\n@hariankompas",1,POSITIVE
196,Mon Feb 13 09:12:06 +0000 2023,Foresight intelejen dunia menggambarkan bahwa tahun 2023 merupakan tahun yang dihantui oleh ancaman resesi dan inflasi yang mempengaruhi pertumbuhan ekonomi dan memiliki dampak besar bagi kehidupan masyarakat. https://t.co/Exe6ENvKJr lewat @YouTube \n.\n#CiburialTV,-1,NEGATIVE
197,Tue Feb 14 05:48:38 +0000 2023,"Isu Resesi dan PHK menjadi hal yang paling di takuti setiap orang di Indonesia, kondisi ekonomi yang memburuk dan kekhawatiran seseorang kehilangan pekerjaan nya menjadi ancaman terbesar di tahun 2023.",-1,NEGATIVE
198,Sun Feb 12 07:04:32 +0000 2023,Gereja Tanggapi Isu Resesi Ekonomi Tahun 2023 - Berita Harian Teratas https://t.co/kHqPVuvhkU,1,POSITIVE
199,Tue Feb 14 20:01:57 +0000 2023,2023 banyak yang bangkrut\nResesi ekonomi\nBanyak yang kena phk\nTempat usaha banyak yang bangkrut\nRumah mewah terjual\n1 hal masih lancar\nUtang negara ke negara orang lain,-1,NEGATIVE
200,Fri Feb 10 19:27:22 +0000 2023,"Kata mbak @andiyaniachmad gak usah panik menghadapi resesi di 2023, coba deh simak apa saja yang bisa kamu lakukan untuk menghadapi keadaan dan tetap bisa bertahan menghadapi resesi ekonomi https://t.co/waWwpwrXdW",1,POSITIVE
201,Thu Feb 16 05:55:21 +0000 2023,Hadirnya negara dalam penyelenggaraan haji minimal dilihat dari ongkos haji yang terjangkau ditengah kerasnya ekonomi resesi 2023. #haji2023 #bpkh #ongkoshajinaik,1,POSITIVE
202,Thu Feb 16 13:04:40 +0000 2023,"Bye Resesi! BI Ramal Ekonomi Indonesia Tumbuh 5,3 Persen di 2023 https://t.co/ThoZgmfq0G",1,POSITIVE
203,Wed Feb 15 02:42:02 +0000 2023,"AMRO memperkirakan ekonomi Indonesia akan tumbuh sebesar 5,0 persen pada 2023. \nIndonesia  dipastikan tdk resesi. \nPermintaan domestik yang solid akan mendukung pertumbuhan ekonomi Indonesia di tengah perkiraan perlambatan permintaan global. https://t.co/0OFFHiJMik",1,POSITIVE
204,Tue Feb 14 10:59:49 +0000 2023,AS tetap optimistis dengan perekonomian 2023 meski ekonomi global terancam resesi https://t.co/GqQ4Pcue8Z,1,POSITIVE
205,Thu Feb 16 09:32:33 +0000 2023,"UU Ciptaker bisa cegah krisis ekonomi?? semoga aja bisa diajukan dengan baik dan bisa cegah Resesi deh, amiin \n\nArsenal PSSI Yunus Nusi Zainudin Amali Exco #AirlanggaHartarto #AntManAndTheWaspQuantumania IIMS 2023 Jongkok SUPERSTAR JENNIE IN CALVINS https://t.co/j2l47GHXJs",1,POSITIVE
206,Thu Feb 16 08:32:38 +0000 2023,Kebal Resesi! BI: Ekonomi RI 2023 Bakal Tumbuh di Atas 5% https://t.co/J61B6O7SKB,1,POSITIVE
207,Sat Feb 11 14:14:12 +0000 2023,Tips Kelola Keuangan untuk Hadapi Resesi Ekonomi 2023 dari artikel kak @andiyaniachmad \n\nhttps://t.co/nXMZUcEoYl,1,POSITIVE
208,Sat Feb 11 14:44:18 +0000 2023,"Kalian pasti sering dengar kata resesi di tahun 2023 ini, bahkan mulai banyak orang untuk berinvestasi emas untuk menghadapi resesi. Tapi aman nggak yah investasi emas di saat krisis ekonomi? Yuk tonton video ini selengkapnya sebelum berinvestasi emas!\n\n#MiningForLife https://t.co/cQhioenfY5",1,POSITIVE
209,Mon Feb 13 07:45:34 +0000 2023,"Saat Reses Masa Sidang II Tahun 2023, H. Eef Jamaludin Sampaikan Program Priorotas Peningkatan SDM Untuk Ekonomi Kreatif https://t.co/HDOH4zZ71S",1,POSITIVE
211,Tue Feb 14 01:30:43 +0000 2023,@pandji Membahas terkait potensi resesi ekonomi di tahun 2023 dan mitigasi yang harus dilakukan Indonesia agar tidak terjebak di dalamnya termasuk potensi peningkatan kualitas komoditas ekspor Indonesia agar lebih memiliki value added  👍👍,1,POSITIVE
212,Sat Feb 11 07:34:17 +0000 2023,"Banyak prediksi yg mengatakan bahwa thn 2023 ini akan terjadi resesi ekonomi yg gak main2.\nNah gimana kita mesti menghadapinya?\nYuk, simak tulisan mb @andiyaniachmad ini. Katanya sih antara lain memaksimalkan kemampuan dgn mencari pendapatan lain 😊\n\nhttps://t.co/4X4tS5iu5q",1,POSITIVE
213,Mon Feb 13 09:56:03 +0000 2023,Upaya Ekonomi Syariah Menghadapi Resesi 2023 https://t.co/n2CXTldS3M,1,POSITIVE
214,Sat Feb 11 08:00:08 +0000 2023,"Pascapandemi Covid-19, Pengusaha Siap Bangkit Hadapi Resesi 2023    #LengkapCepatBeritanya #Keuangan #Ekonomi #Ekonomi #EkonomiIndonesia . https://t.co/6DbHcnVEtn",1,POSITIVE
215,Thu Feb 09 00:18:31 +0000 2023,"Pembicaraan mengenai isu resesi yang akan terjadi pada tahun 2023 semakin kerap terdengar. Masalah ekonomi ini melahirkan beragam tantangan di berbagai sektor industri, salah satunya e-commerce.#eccomerce #belanjaonline #marketplace #umkm #resesi #pandemi https://t.co/ENjlQLSU4I",-1,NEGATIVE
216,Thu Feb 09 08:34:32 +0000 2023,EKONOMI INDONESIA TUMBUH DI TENGAH RESESI GLOBAL 2023 https://t.co/T4P6iCkGFB,1,POSITIVE
217,Thu Feb 09 01:27:49 +0000 2023,Pembicaraan mengenai isu resesi yang akan terjadi pada tahun 2023 semakin kerap terdengar. Masalah ekonomi ini melahirkan beragam tantangan di berbagai sektor industri\n#ecomerce #belanjaonline #marketplace #umkm #resesi #pandemi\nhttps://t.co/k0kji4HAj8,-1,NEGATIVE
218,Thu Feb 09 00:10:42 +0000 2023,"Pembicaraan isu resesi yang akan terjadi pada tahun 2023 semakin kerap terdengar. Masalah ekonomi ini melahirkan beragam tantangan di berbagai sektor industri, salah satunya e-commerce.\n#ecommerce #belanjaonline #marketplace #umkm #resesi\n\nhttps://t.co/zPZgnEc6qF",-1,NEGATIVE
