,content,score,Label,cleansing,normalized,Tokenization,Stopword_Removal,Stemmed
31,tanda tanda sudah mau bangkrut.. poin buruan abisin keburu tutup,2,Negatif,tanda tanda sudah mau bangkrut  poin buruan abisin keburu tutup,tanda tanda sudah mau bangkrut poin buruan abisin terlanjur tutup,"['tanda', 'tanda', 'sudah', 'mau', 'bangkrut', 'poin', 'buruan', 'abisin', 'terlanjur', 'tutup']","['tanda', 'tanda', 'bangkrut', 'poin', 'buruan', 'abisin', 'terlanjur', 'tutup']",tanda tanda bangkrut poin buru abisin lanjur tutup
32,drivernya ramah bngt,5,Positif,drivernya ramah bngt,drivernya ramah bngt,"['drivernya', 'ramah', 'bngt']","['drivernya', 'ramah', 'bngt']",drivernya ramah bngt
33,terima kasih barang sudah kami terima,5,Positif,terima kasih barang sudah kami terima,terima kasih barang sudah kami terima,"['terima', 'kasih', 'barang', 'sudah', 'kami', 'terima']","['terima', 'kasih', 'barang', 'terima']",terima kasih barang terima
34,aplikasi wahyoo gak benar giliran poin sudah banyak malah toko nya di tutup permanen biar gak bisa tukar poin,1,Negatif,aplikasi wahyoo gak benar giliran poin sudah banyak malah toko nya di tutup permanen biar gak bisa tukar poin,aplikasi wahyoo tidak benar giliran poin sudah banyak bahkan toko nya di tutup permanen biar tidak bisa tukar poin,"['aplikasi', 'wahyoo', 'tidak', 'benar', 'giliran', 'poin', 'sudah', 'banyak', 'bahkan', 'toko', 'nya', 'di', 'tutup', 'permanen', 'biar', 'tidak', 'bisa', 'tukar', 'poin']","['aplikasi', 'wahyoo', 'giliran', 'poin', 'toko', 'nya', 'tutup', 'permanen', 'biar', 'tukar', 'poin']",aplikasi wahyoo gilir poin toko nya tutup permanen biar tukar poin
35,kecewa saya pakai aplikasi ini,1,Negatif,kecewa saya pakai aplikasi ini,kecewa saya pakai aplikasi ini,"['kecewa', 'saya', 'pakai', 'aplikasi', 'ini']","['kecewa', 'pakai', 'aplikasi']",kecewa pakai aplikasi
36,"qris nya bermasalah,,tolong d perbaiki",1,Negatif,qris nya bermasalah  tolong d perbaiki,qris nya bermasalah tolong di perbaiki,"['qris', 'nya', 'bermasalah', 'tolong', 'di', 'perbaiki']","['qris', 'nya', 'bermasalah', 'tolong', 'perbaiki']",qris nya masalah tolong baik
37,ok punya,5,Positif,ok punya,ok punya,"['ok', 'punya']",['ok'],ok
38,"telur yg di kirim bnyak yg pecah&retak,busuk2 juga setelah di claim tdk mau di ganti,proses claim berbelit2 dan lama pakai banget...",1,Negatif,telur yg di kirim bnyak yg pecah retak busuk  juga setelah di claim tdk mau di ganti proses claim berbelit  dan lama pakai banget ,telur yang di kirim bnyak yang pecah retak busuk juga setelah di claim tidak mau di ganti proses claim berbelit dan lama pakai banget,"['telur', 'yang', 'di', 'kirim', 'bnyak', 'yang', 'pecah', 'retak', 'busuk', 'juga', 'setelah', 'di', 'claim', 'tidak', 'mau', 'di', 'ganti', 'proses', 'claim', 'berbelit', 'dan', 'lama', 'pakai', 'banget']","['telur', 'kirim', 'bnyak', 'pecah', 'retak', 'busuk', 'claim', 'ganti', 'proses', 'claim', 'berbelit', 'pakai', 'banget']",telur kirim bnyak pecah retak busuk claim ganti proses claim belit pakai banget
39,barangnya kosong mulu...,1,Negatif,barangnya kosong mulu ,barangnya kosong melulu,"['barangnya', 'kosong', 'melulu']","['barangnya', 'kosong', 'melulu']",barang kosong melulu
40,bijak,5,Positif,bijak,bijak,['bijak'],['bijak'],bijak
41,ok,5,Positif,ok,ok,['ok'],['ok'],ok
42,belanja yg menyenangkan,5,Positif,belanja yg menyenangkan,belanja yang menyenangkan,"['belanja', 'yang', 'menyenangkan']","['belanja', 'menyenangkan']",belanja senang
43,klau bisa ada cabe putihny,5,Positif,klau bisa ada cabe putihny,klau bisa ada cabe putihny,"['klau', 'bisa', 'ada', 'cabe', 'putihny']","['klau', 'cabe', 'putihny']",klau cabe putihny
44,harganya sangat jauh dari harga prasarananya mahal,1,Negatif,harganya sangat jauh dari harga prasarananya mahal,harganya sangat jauh dari harga prasarananya mahal,"['harganya', 'sangat', 'jauh', 'dari', 'harga', 'prasarananya', 'mahal']","['harganya', 'harga', 'prasarananya', 'mahal']",harga harga prasarana mahal
46,msntap,5,Positif,msntap,msntap,['msntap'],['msntap'],msntap
47,lumayan mebantu,5,Positif,lumayan mebantu,lumayan mebantu,"['lumayan', 'mebantu']","['lumayan', 'mebantu']",lumayan mebantu
48,mantappp,5,Positif,mantapp,mantapp,['mantapp'],['mantapp'],mantapp
49,harga bersahabat,5,Positif,harga bersahabat,harga bersahabat,"['harga', 'bersahabat']","['harga', 'bersahabat']",harga sahabat
51,mantap,5,Positif,mantap,mantap,['mantap'],['mantap'],mantap
52,pesenan saya ngak dikirim,1,Negatif,pesenan saya ngak dikirim,pesanan saya ngak dikirim,"['pesanan', 'saya', 'ngak', 'dikirim']","['pesanan', 'ngak', 'dikirim']",pesan ngak kirim
53,alhamdulillah dapat potongan harg 75k. sukses selalu wahyoo,5,Positif,alhamdulillah dapat potongan harg   k  sukses selalu wahyoo,alhamdulillah dapat potongan harg ke sukses selalu wahyoo,"['alhamdulillah', 'dapat', 'potongan', 'harg', 'ke', 'sukses', 'selalu', 'wahyoo']","['alhamdulillah', 'potongan', 'harg', 'sukses', 'wahyoo']",alhamdulillah potong harg sukses wahyoo
54,"ribet daftarnya. lewat online, verifikasi lambat. dan gak cocok buat umkm kecil. harus ada ini itu. sedangkan survei ke lokasi langsung gaada.",1,Negatif,ribet daftarnya  lewat online  verifikasi lambat  dan gak cocok buat umkm kecil  harus ada ini itu  sedangkan survei ke lokasi langsung gaada ,ribet daftarnya lewat online verifikasi lambat dan tidak cocok buat umkm kecil harus ada ini itu sedangkan survei ke lokasi langsung tidak ada uang,"['ribet', 'daftarnya', 'lewat', 'online', 'verifikasi', 'lambat', 'dan', 'tidak', 'cocok', 'buat', 'umkm', 'kecil', 'harus', 'ada', 'ini', 'itu', 'sedangkan', 'survei', 'ke', 'lokasi', 'langsung', 'tidak', 'ada', 'uang']","['ribet', 'daftarnya', 'online', 'verifikasi', 'lambat', 'cocok', 'umkm', 'survei', 'lokasi', 'langsung', 'uang']",ribet daftar online verifikasi lambat cocok umkm survei lokasi langsung uang
55,aplikasi nya mantul sy baru langganan 2 bulan lebih karna terima tantangan dapet hadia kompor kedua dapet hadiah oven kirin klaim hadiah 10 hari kemudian dikirim bener2 mantep,5,Positif,aplikasi nya mantul sy baru langganan   bulan lebih karna terima tantangan dapet hadia kompor kedua dapet hadiah oven kirin klaim hadiah    hari kemudian dikirim bener  mantep,aplikasi nya mantul saya baru langganan bulan lebih karena terima tantangan dapat hadia kompor kedua dapat hadiah oven kirin klaim hadiah hari kemudian dikirim benar mantap,"['aplikasi', 'nya', 'mantul', 'saya', 'baru', 'langganan', 'bulan', 'lebih', 'karena', 'terima', 'tantangan', 'dapat', 'hadia', 'kompor', 'kedua', 'dapat', 'hadiah', 'oven', 'kirin', 'klaim', 'hadiah', 'hari', 'kemudian', 'dikirim', 'benar', 'mantap']","['aplikasi', 'nya', 'mantul', 'langganan', 'terima', 'tantangan', 'hadia', 'kompor', 'hadiah', 'oven', 'kirin', 'klaim', 'hadiah', 'dikirim', 'mantap']",aplikasi nya mantul langgan terima tantang hadia kompor hadiah oven kirin klaim hadiah kirim mantap
57,"aplikasi kacau,udah buang waktu ngisi data segala macam sama salesnya,kurirnya ngirim gak ngabarin,main cancel"" aja,langsung uninstal",1,Negatif,aplikasi kacau udah buang waktu ngisi data segala macam sama salesnya kurirnya ngirim gak ngabarin main cancel  aja langsung uninstal,aplikasi kacau sudah buang waktu mengisi data segala macam sama salesnya kurirnya ngirim tidak ngabarin main cancel saja langsung uninstal,"['aplikasi', 'kacau', 'sudah', 'buang', 'waktu', 'mengisi', 'data', 'segala', 'macam', 'sama', 'salesnya', 'kurirnya', 'ngirim', 'tidak', 'ngabarin', 'main', 'cancel', 'saja', 'langsung', 'uninstal']","['aplikasi', 'kacau', 'buang', 'mengisi', 'data', 'salesnya', 'kurirnya', 'ngirim', 'ngabarin', 'main', 'cancel', 'langsung', 'uninstal']",aplikasi kacau buang isi data salesnya kurir ngirim ngabarin main cancel langsung uninstal
58,"stok di banyakin setiap mau pesen stok selalu habis, dan untuk para seles yg awal nawarin apk ini mohon tepati janjinya yg mau ngasih hadiah, 4 bulan lalu mau ngasih hadiah kompor nyampe sekarang bhulshit..! udah kendor order di wahyoo lagi yg pertama karena selesnya ga jelas, yg ke dua harga bahan sekarang malah lebih mahal dari harga pasaran gak kaya dulu",1,Negatif,stok di banyakin setiap mau pesen stok selalu habis  dan untuk para seles yg awal nawarin apk ini mohon tepati janjinya yg mau ngasih hadiah    bulan lalu mau ngasih hadiah kompor nyampe sekarang bhulshit  udah kendor order di wahyoo lagi yg pertama karena selesnya ga jelas  yg ke dua harga bahan sekarang malah lebih mahal dari harga pasaran gak kaya dulu,stok di banyakin setiap mau pesen stok selalu habis dan untuk para seles yang awal nawarin apk ini mohon tepati janjinya yang mau memberikan hadiah bulan lalu mau memberikan hadiah kompor nyampe sekarang bhulshit sudah kendor order di wahyoo lagi yang pertama karena selesnya tidak jelas yang ke dua harga bahan sekarang bahkan lebih mahal dari harga pasaran tidak kaya dulu,"['stok', 'di', 'banyakin', 'setiap', 'mau', 'pesen', 'stok', 'selalu', 'habis', 'dan', 'untuk', 'para', 'seles', 'yang', 'awal', 'nawarin', 'apk', 'ini', 'mohon', 'tepati', 'janjinya', 'yang', 'mau', 'memberikan', 'hadiah', 'bulan', 'lalu', 'mau', 'memberikan', 'hadiah', 'kompor', 'nyampe', 'sekarang', 'bhulshit', 'sudah', 'kendor', 'order', 'di', 'wahyoo', 'lagi', 'yang', 'pertama', 'karena', 'selesnya', 'tidak', 'jelas', 'yang', 'ke', 'dua', 'harga', 'bahan', 'sekarang', 'bahkan', 'lebih', 'mahal', 'dari', 'harga', 'pasaran', 'tidak', 'kaya', 'dulu']","['stok', 'banyakin', 'pesen', 'stok', 'habis', 'seles', 'nawarin', 'apk', 'mohon', 'tepati', 'janjinya', 'hadiah', 'hadiah', 'kompor', 'nyampe', 'bhulshit', 'kendor', 'order', 'wahyoo', 'selesnya', 'harga', 'bahan', 'mahal', 'harga', 'pasaran', 'kaya']",stok banyakin sen stok habis les nawarin apk mohon tepat janji hadiah hadiah kompor nyampe bhulshit kendor order wahyoo les harga bahan mahal harga pasar kaya
59,"aplikasi ga jelas jangan download buang2 kuota,semua stoknya gada yang bisa di beli,cuma jadi pajangan doang kali ya",1,Negatif,aplikasi ga jelas jangan download buang  kuota semua stoknya gada yang bisa di beli cuma jadi pajangan doang kali ya,aplikasi tidak jelas jangan download buang kuota semua stoknya tidak ada yang bisa di beli cuma jadi pajangan saja kali iya,"['aplikasi', 'tidak', 'jelas', 'jangan', 'download', 'buang', 'kuota', 'semua', 'stoknya', 'tidak', 'ada', 'yang', 'bisa', 'di', 'beli', 'cuma', 'jadi', 'pajangan', 'saja', 'kali', 'iya']","['aplikasi', 'download', 'buang', 'kuota', 'stoknya', 'beli', 'pajangan', 'kali', 'iya']",aplikasi download buang kuota stok beli pajang kali iya
60,msntul,5,Positif,msntul,msntul,['msntul'],['msntul'],msntul
61,"lumayan lah, tapi produk yang penting untuk promo malah lama ketersediaan stocknya",3,Negatif,lumayan lah  tapi produk yang penting untuk promo malah lama ketersediaan stocknya,lumayan lah tapi produk yang penting untuk promo bahkan lama ketersediaan stocknya,"['lumayan', 'lah', 'tapi', 'produk', 'yang', 'penting', 'untuk', 'promo', 'bahkan', 'lama', 'ketersediaan', 'stocknya']","['lumayan', 'produk', 'promo', 'ketersediaan', 'stocknya']",lumayan produk promo sedia stocknya
63,hadiah tantangann. tambah. lgi donggg,5,Positif,hadiah tantangann  tambah  lgi dongg,hadiah tantangann tambah lagi dongg,"['hadiah', 'tantangann', 'tambah', 'lagi', 'dongg']","['hadiah', 'tantangann', 'dongg']",hadiah tantangann dongg
64,pengalaman buruk belanja disini...barang salah tidak dapat diganti ...,1,Negatif,pengalaman buruk belanja disini barang salah tidak dapat diganti  ,pengalaman buruk belanja disini barang salah tidak dapat diganti,"['pengalaman', 'buruk', 'belanja', 'disini', 'barang', 'salah', 'tidak', 'dapat', 'diganti']","['pengalaman', 'buruk', 'belanja', 'barang', 'salah', 'diganti']",alam buruk belanja barang salah ganti
65,pengiriman ke tangerang kab blm bisa pagi jam 6,4,Positif,pengiriman ke tangerang kab blm bisa pagi jam  ,pengiriman ke tangerang kabupaten belum bisa pagi jam,"['pengiriman', 'ke', 'tangerang', 'kabupaten', 'belum', 'bisa', 'pagi', 'jam']","['pengiriman', 'tangerang', 'kabupaten', 'pagi', 'jam']",kirim tangerang kabupaten pagi jam
66,"pengiriman cepat, kurir pun ramah",5,Positif,pengiriman cepat  kurir pun ramah,pengiriman cepat kurir pun ramah,"['pengiriman', 'cepat', 'kurir', 'pun', 'ramah']","['pengiriman', 'cepat', 'kurir', 'ramah']",kirim cepat kurir ramah
67,mantap wahyoo..belanja dpt cashback plus hadiah,5,Positif,mantap wahyoo belanja dpt cashback plus hadiah,mantap wahyoo belanja dapat cashback plus hadiah,"['mantap', 'wahyoo', 'belanja', 'dapat', 'cashback', 'plus', 'hadiah']","['mantap', 'wahyoo', 'belanja', 'cashback', 'plus', 'hadiah']",mantap wahyoo belanja cashback plus hadiah
68,"aneh aplikasi nya .. maasa belanja harus ditargetin mana mahal"" semua lagi .. ya mending belanja di aplikasi hatata murah banyak promonya",1,Negatif,aneh aplikasi nya   maasa belanja harus ditargetin mana mahal  semua lagi   ya mending belanja di aplikasi hatata murah banyak promonya,aneh aplikasi nya maasa belanja harus ditargetin mana mahal semua lagi iya lebih baik belanja di aplikasi hatata murah banyak promonya,"['aneh', 'aplikasi', 'nya', 'maasa', 'belanja', 'harus', 'ditargetin', 'mana', 'mahal', 'semua', 'lagi', 'iya', 'lebih', 'baik', 'belanja', 'di', 'aplikasi', 'hatata', 'murah', 'banyak', 'promonya']","['aneh', 'aplikasi', 'nya', 'maasa', 'belanja', 'ditargetin', 'mahal', 'iya', 'belanja', 'aplikasi', 'hatata', 'murah', 'promonya']",aneh aplikasi nya maasa belanja ditargetin mahal iya belanja aplikasi hatata murah promonya
70,bagus tinggal pesen besokny d antar tingkatkan terus y wahyo,5,Positif,bagus tinggal pesen besokny d antar tingkatkan terus y wahyo,bagus tinggal pesen besokny di antar tingkatkan terus kenapa wahyo,"['bagus', 'tinggal', 'pesen', 'besokny', 'di', 'antar', 'tingkatkan', 'terus', 'kenapa', 'wahyo']","['bagus', 'tinggal', 'pesen', 'besokny', 'tingkatkan', 'wahyo']",bagus tinggal sen besokny tingkat wahyo
71,recommended,5,Positif,recommended,recommended,['recommended'],['recommended'],recommended
72,pengin tau caranya biar dapat hadiah 2 dari wahyo gampang caranya 1 akun 2 hadiah klw ngejar target japri bos,1,Negatif,pengin tau caranya biar dapat hadiah   dari wahyo gampang caranya   akun   hadiah klw ngejar target japri bos,pengin tahu caranya biar dapat hadiah dari wahyo gampang caranya akun hadiah kalau ngejar target japri bos,"['pengin', 'tahu', 'caranya', 'biar', 'dapat', 'hadiah', 'dari', 'wahyo', 'gampang', 'caranya', 'akun', 'hadiah', 'kalau', 'ngejar', 'target', 'japri', 'bos']","['pengin', 'biar', 'hadiah', 'wahyo', 'gampang', 'akun', 'hadiah', 'ngejar', 'target', 'japri', 'bos']",pengin biar hadiah wahyo gampang akun hadiah ngejar target japri bos
73,alhamdulillah terimakasih banyak ya bapak ibu kirimannya baguus banget,5,Positif,alhamdulillah terimakasih banyak ya bapak ibu kirimannya baguus banget,alhamdulillah terimakasih banyak iya bapak ibu kirimannya baguus banget,"['alhamdulillah', 'terimakasih', 'banyak', 'iya', 'bapak', 'ibu', 'kirimannya', 'baguus', 'banget']","['alhamdulillah', 'terimakasih', 'iya', 'kirimannya', 'baguus', 'banget']",alhamdulillah terimakasih iya kirim baguus banget
74,sangat memuaskn,5,Positif,sangat memuaskn,sangat memuaskn,"['sangat', 'memuaskn']",['memuaskn'],memuaskn
75,"tolong didik sopir & cs , hargai pembeli! saya beli cash eh barang ga diantar, alasan warung tutup. punya tangan atau hp tinggal telpon atau getok² aja pintunya. ini ga ada omongan apa apa main tinggal aja, sekongkol sopir & cs. udah langganan 3 tahun, dikecewakan terus. mending belanja toko tetangga biar mereka berkah",1,Negatif,tolong didik sopir   cs   hargai pembeli  saya beli cash eh barang ga diantar  alasan warung tutup  punya tangan atau hp tinggal telpon atau getok aja pintunya  ini ga ada omongan apa apa main tinggal aja  sekongkol sopir   cs  udah langganan   tahun  dikecewakan terus  mending belanja toko tetangga biar mereka berkah,tolong didik sopir cs hargai pembeli saya beli cash eh barang tidak diantar alasan warung tutup punya tangan atau hp tinggal telpon atau getok saja pintunya ini tidak ada omongan apa apa main tinggal saja sekongkol sopir cs sudah langganan tahun dikecewakan terus lebih baik belanja toko tetangga biar mereka berkah,"['tolong', 'didik', 'sopir', 'cs', 'hargai', 'pembeli', 'saya', 'beli', 'cash', 'eh', 'barang', 'tidak', 'diantar', 'alasan', 'warung', 'tutup', 'punya', 'tangan', 'atau', 'hp', 'tinggal', 'telpon', 'atau', 'getok', 'saja', 'pintunya', 'ini', 'tidak', 'ada', 'omongan', 'apa', 'apa', 'main', 'tinggal', 'saja', 'sekongkol', 'sopir', 'cs', 'sudah', 'langganan', 'tahun', 'dikecewakan', 'terus', 'lebih', 'baik', 'belanja', 'toko', 'tetangga', 'biar', 'mereka', 'berkah']","['tolong', 'didik', 'sopir', 'cs', 'hargai', 'pembeli', 'beli', 'cash', 'eh', 'barang', 'diantar', 'alasan', 'warung', 'tutup', 'tangan', 'hp', 'tinggal', 'telpon', 'getok', 'pintunya', 'omongan', 'main', 'tinggal', 'sekongkol', 'sopir', 'cs', 'langganan', 'dikecewakan', 'belanja', 'toko', 'tetangga', 'biar', 'berkah']",tolong didik sopir cs harga beli beli cash eh barang antar alas warung tutup tangan hp tinggal telpon getok pintu omong main tinggal sekongkol sopir cs langgan kecewa belanja toko tetangga biar berkah
76,mau daftar tidak di acc..khusus warung makan😔,1,Negatif,mau daftar tidak di acc khusus warung makan,mau daftar tidak di accord khusus warung makan,"['mau', 'daftar', 'tidak', 'di', 'accord', 'khusus', 'warung', 'makan']","['daftar', 'accord', 'khusus', 'warung', 'makan']",daftar accord khusus warung makan
77,sangat membantu untuk usaha,5,Positif,sangat membantu untuk usaha,sangat membantu untuk usaha,"['sangat', 'membantu', 'untuk', 'usaha']","['membantu', 'usaha']",bantu usaha
78,untuk para pedagang gak bisa ngandeli aplikasi ini . soalnya stoknya gak jelas . masa pihak wahyoo nunggu barang kosong dlu baru di isi lagi . trus ngisinya gak bentar bisa berminggu2. jadi mau jualan juga susah kalau stoknya kosong trus .,1,Negatif,untuk para pedagang gak bisa ngandeli aplikasi ini   soalnya stoknya gak jelas   masa pihak wahyoo nunggu barang kosong dlu baru di isi lagi   trus ngisinya gak bentar bisa berminggu   jadi mau jualan juga susah kalau stoknya kosong trus  ,untuk para pedagang tidak bisa ngandeli aplikasi ini soalnya stoknya tidak jelas masa pihak wahyoo menunggu barang kosong dulu baru di isi lagi terus ngisinya tidak sebentar bisa berminggu jadi mau jualan juga susah kalau stoknya kosong terus,"['untuk', 'para', 'pedagang', 'tidak', 'bisa', 'ngandeli', 'aplikasi', 'ini', 'soalnya', 'stoknya', 'tidak', 'jelas', 'masa', 'pihak', 'wahyoo', 'menunggu', 'barang', 'kosong', 'dulu', 'baru', 'di', 'isi', 'lagi', 'terus', 'ngisinya', 'tidak', 'sebentar', 'bisa', 'berminggu', 'jadi', 'mau', 'jualan', 'juga', 'susah', 'kalau', 'stoknya', 'kosong', 'terus']","['pedagang', 'ngandeli', 'aplikasi', 'stoknya', 'wahyoo', 'menunggu', 'barang', 'kosong', 'isi', 'ngisinya', 'sebentar', 'berminggu', 'jualan', 'susah', 'stoknya', 'kosong']",dagang ngandeli aplikasi stok wahyoo tunggu barang kosong isi ngisinya sebentar minggu jual susah stok kosong
79,"cepat pengiriman nya,,,",5,Positif,cepat pengiriman nya  ,cepat pengiriman nya,"['cepat', 'pengiriman', 'nya']","['cepat', 'pengiriman', 'nya']",cepat kirim nya
80,anter ke lokasi warung alafabi 👍👍👍,5,Positif,anter ke lokasi warung alafabi,antar ke lokasi warung alafabi,"['antar', 'ke', 'lokasi', 'warung', 'alafabi']","['lokasi', 'warung', 'alafabi']",lokasi warung alafabi
82,"pengiriman selalu tidak sesuai dengan jam yang di pilih, saya pengguna aktif yang belanja seminggu bisa 4x dan nominal tidak sedikit tapi selalu di kecewakan, udah di bilang warung saya operasionalnya jam 11.00 dan sudha milih jam pengiriman siang, tetap aja di kiri. pagi jam 07an.. ga tau aplikasi ini bener2 sampah. saya belanja disini karena cabe nya seger. kalo engga malas banget.. semoga segera dapat t4 yg baru biar ga beli disini. sumpah hampir tiap kali belanja dibikin kecewa",1,Negatif,pengiriman selalu tidak sesuai dengan jam yang di pilih  saya pengguna aktif yang belanja seminggu bisa  x dan nominal tidak sedikit tapi selalu di kecewakan  udah di bilang warung saya operasionalnya jam       dan sudha milih jam pengiriman siang  tetap aja di kiri  pagi jam   an  ga tau aplikasi ini bener  sampah  saya belanja disini karena cabe nya seger  kalo engga malas banget  semoga segera dapat t  yg baru biar ga beli disini  sumpah hampir tiap kali belanja dibikin kecewa,pengiriman selalu tidak sesuai dengan jam yang di pilih saya pengguna aktif yang belanja seminggu bisa kali dan nominal tidak sedikit tapi selalu di kecewakan sudah di bilang warung saya operasionalnya jam dan sudha milih jam pengiriman siang tetap saja di kiri pagi jam an tidak tahu aplikasi ini benar sampah saya belanja disini karena cabe nya seger kalau tidak malas banget semoga segera dapat t yang baru biar tidak beli disini sumpah hampir tiap kali belanja dibikin kecewa,"['pengiriman', 'selalu', 'tidak', 'sesuai', 'dengan', 'jam', 'yang', 'di', 'pilih', 'saya', 'pengguna', 'aktif', 'yang', 'belanja', 'seminggu', 'bisa', 'kali', 'dan', 'nominal', 'tidak', 'sedikit', 'tapi', 'selalu', 'di', 'kecewakan', 'sudah', 'di', 'bilang', 'warung', 'saya', 'operasionalnya', 'jam', 'dan', 'sudha', 'milih', 'jam', 'pengiriman', 'siang', 'tetap', 'saja', 'di', 'kiri', 'pagi', 'jam', 'an', 'tidak', 'tahu', 'aplikasi', 'ini', 'benar', 'sampah', 'saya', 'belanja', 'disini', 'karena', 'cabe', 'nya', 'seger', 'kalau', 'tidak', 'malas', 'banget', 'semoga', 'segera', 'dapat', 't', 'yang', 'baru', 'biar', 'tidak', 'beli', 'disini', 'sumpah', 'hampir', 'tiap', 'kali', 'belanja', 'dibikin', 'kecewa']","['pengiriman', 'sesuai', 'jam', 'pilih', 'pengguna', 'aktif', 'belanja', 'seminggu', 'kali', 'nominal', 'kecewakan', 'bilang', 'warung', 'operasionalnya', 'jam', 'sudha', 'milih', 'jam', 'pengiriman', 'siang', 'kiri', 'pagi', 'jam', 'an', 'aplikasi', 'sampah', 'belanja', 'cabe', 'nya', 'seger', 'malas', 'banget', 'semoga', 't', 'biar', 'beli', 'sumpah', 'kali', 'belanja', 'dibikin', 'kecewa']",kirim sesuai jam pilih guna aktif belanja minggu kali nominal kecewa bilang warung operasional jam sudha milih jam kirim siang kiri pagi jam an aplikasi sampah belanja cabe nya seger malas banget moga t biar beli sumpah kali belanja bikin kecewa
83,"gak jelas wahyoo,,, tangguhin akun sebelah pihak,,, padahal kurir nya yg gak mau kirim dan konfirmasi pengiriman,,, kacau, sekarang malah akun saya ditangguhkan,,,",1,Negatif,gak jelas wahyoo   tangguhin akun sebelah pihak   padahal kurir nya yg gak mau kirim dan konfirmasi pengiriman   kacau  sekarang malah akun saya ditangguhkan  ,tidak jelas wahyoo tangguhin akun sebelah pihak padahal kurir nya yang tidak mau kirim dan konfirmasi pengiriman kacau sekarang bahkan akun saya ditangguhkan,"['tidak', 'jelas', 'wahyoo', 'tangguhin', 'akun', 'sebelah', 'pihak', 'padahal', 'kurir', 'nya', 'yang', 'tidak', 'mau', 'kirim', 'dan', 'konfirmasi', 'pengiriman', 'kacau', 'sekarang', 'bahkan', 'akun', 'saya', 'ditangguhkan']","['wahyoo', 'tangguhin', 'akun', 'sebelah', 'kurir', 'nya', 'kirim', 'konfirmasi', 'pengiriman', 'kacau', 'akun', 'ditangguhkan']",wahyoo tangguhin akun belah kurir nya kirim konfirmasi kirim kacau akun tangguh
84,vocer blnjanya sangat membantu,5,Positif,vocer blnjanya sangat membantu,vocer blnjanya sangat membantu,"['vocer', 'blnjanya', 'sangat', 'membantu']","['vocer', 'blnjanya', 'membantu']",vocer blnjanya bantu
85,sangat membantu,5,Positif,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu
86,belanja di wahyoo enak teryata makin puas,5,Positif,belanja di wahyoo enak teryata makin puas,belanja di wahyoo enak teryata makin puas,"['belanja', 'di', 'wahyoo', 'enak', 'teryata', 'makin', 'puas']","['belanja', 'wahyoo', 'enak', 'teryata', 'puas']",belanja wahyoo enak teryata puas
87,sangat puas,5,Positif,sangat puas,sangat puas,"['sangat', 'puas']",['puas'],puas
88,"alamat pengiriman nya suka kacau... kasian driver nya.. udah minta di rubah berkali2 sampai skrg titik maps nya masih aja belum di rubah.... terus beberapa kali beli ikan basah, kualitasnya gak bagus, terus timbangan berat nya suka gak pas... walau selisih nya dikit tetep aja berat ga sesuai yg tertera, dan hr ini sy belanja timun, plastiknya robek, isinya keluar2, dan tomat merahnya bbrp udah mau bonyok...",3,Negatif,alamat pengiriman nya suka kacau  kasian driver nya  udah minta di rubah berkali  sampai skrg titik maps nya masih aja belum di rubah  terus beberapa kali beli ikan basah  kualitasnya gak bagus  terus timbangan berat nya suka gak pas  walau selisih nya dikit tetep aja berat ga sesuai yg tertera  dan hr ini sy belanja timun  plastiknya robek  isinya keluar   dan tomat merahnya bbrp udah mau bonyok ,alamat pengiriman nya suka kacau kasian driver nya sudah minta di rubah berkali sampai sekarang titik maps nya masih saja belum di rubah terus beberapa kali beli ikan basah kualitasnya tidak bagus terus timbangan berat nya suka tidak pas walau selisih nya dikit tetep saja berat tidak sesuai yang tertera dan hari ini saya belanja timun plastiknya robek isinya keluar dan tomat merahnya bbrp sudah mau ayah ibu,"['alamat', 'pengiriman', 'nya', 'suka', 'kacau', 'kasian', 'driver', 'nya', 'sudah', 'minta', 'di', 'rubah', 'berkali', 'sampai', 'sekarang', 'titik', 'maps', 'nya', 'masih', 'saja', 'belum', 'di', 'rubah', 'terus', 'beberapa', 'kali', 'beli', 'ikan', 'basah', 'kualitasnya', 'tidak', 'bagus', 'terus', 'timbangan', 'berat', 'nya', 'suka', 'tidak', 'pas', 'walau', 'selisih', 'nya', 'dikit', 'tetep', 'saja', 'berat', 'tidak', 'sesuai', 'yang', 'tertera', 'dan', 'hari', 'ini', 'saya', 'belanja', 'timun', 'plastiknya', 'robek', 'isinya', 'keluar', 'dan', 'tomat', 'merahnya', 'bbrp', 'sudah', 'mau', 'ayah', 'ibu']","['alamat', 'pengiriman', 'nya', 'suka', 'kacau', 'kasian', 'driver', 'nya', 'rubah', 'berkali', 'titik', 'maps', 'nya', 'rubah', 'kali', 'beli', 'ikan', 'basah', 'kualitasnya', 'bagus', 'timbangan', 'berat', 'nya', 'suka', 'pas', 'selisih', 'nya', 'dikit', 'tetep', 'berat', 'sesuai', 'tertera', 'belanja', 'timun', 'plastiknya', 'robek', 'isinya', 'tomat', 'merahnya', 'bbrp', 'ayah']",alamat kirim nya suka kacau kasi driver nya rubah kali titik maps nya rubah kali beli ikan basah kualitas bagus timbang berat nya suka pas selisih nya dikit tetep berat sesuai tera belanja timun plastik robek isi tomat merah bbrp ayah
